RegionID,SizeRank,RegionName,RegionType,StateName,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
102001,0,United States,Country,,201418,200449,199120,196730,194797,192549,190947,189004,186858,184020,181963,180345,180329,178852,178473,177902,176774,175776,175331,175326,175755,177133,177666,178566,177391,176451,174214,175416,176620,178596,178144,177765,177417,177003,176818,174947,173920,172061,171742,170321,169491,168629,168654,168789,168403,168154,168097,169120,171203,173182,174875,175477,176057,176888,177907,179773,181352,182865,183729,185171,186772,189109,191298,193815,195089,195907,196834,196781,197465,197408,198739,199138,199438,199385,199544,200236,201809,202633,203184,203787,204770,206332,207579,209290,210474,211593,212412,212896,213044,213723,214049,215214,216389,217590,217539,217509,218405,220003,220672,221684,222453,223981,225759,227075,228046,228395,229087,229669,230394,230849,232701,233716,235482,236560,237906,239173,239762,241046,242977,244482,245434,245653,245915,245101,243636,245721,246405,246854,247577,248941,249108,249778,250223,253678,255859,255913,252353,257137,257825,258814,260043,260689,261917,262988,264418,263957,264196
394913,1,"New York, NY",Msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352807,352106,354308,359929,363186,365205,362785,360753,363539,364698,368616,364091,363199,360694,360160,357660,360434,361895,366439,368984,371326,372855,370947,369744,371090,373994,374136,372147,370471,370315,371675,373539,373306,373037,373147,375445,378245,378886,380423,380875,381097,381112,379293,378542,380004,380752,382183,383015,382657,383843,383034,385042,384504,385513,385806,387817,387953,391357,391702,392995,392243,394335,395823,398348,399280,400823,403492,404331,405862,402406,402957,403280,405498,403612,404661,405245,409592,409391,410685,408825,409648,410006,411181,410933,411356,410725,409328,407785,408341,410019,413533,411855,413816,416869,418076,420400,421735,425240,428224,431378,431688,433233
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,503804,494478,484313,471870,461970,450887,442586,434549,430498,421410,418862,412681,403108,400824,404186,408743,411022,412209,412865,412127,408280,409050,404681,404843,397285,399299,394603,393731,392397,395966,395864,397006,395700,396074,394404,394395,391914,388564,386633,385178,382754,381068,377082,374800,369109,368472,369568,372611,375181,374946,376819,380106,385669,390565,396972,403471,412722,418372,422156,427852,440126,453782,463745,466702,469898,471472,475594,479356,485806,489352,494562,496150,496016,497182,497630,503545,507812,513588,516002,516544,514685,515464,519944,524762,527205,524526,526272,527559,531152,531541,533333,537332,543549,550037,551716,551642,553202,559128,563847,564660,564803,567201,573665,576863,580113,582893,584378,588975,592092,597339,599322,603067,607519,612637,614154,617858,620669,622715,628128,629866,634133,636300,640291,640158,637327,639656,643355,644420,643430,639676,636571,637772,643363,648454,650584,649886,641965,652197,652506,654214,657927,664264,668946,671560,669932,669150,670493
394463,3,"Chicago, IL",Msa,IL,256009,252044,249908,248136,245965,243767,239653,235855,231808,227299,222942,219527,218910,217898,214578,211330,207957,205996,204298,204213,203829,205443,205746,206636,204935,204736,203502,201383,200456,197711,199983,199014,199006,196973,196354,191881,188109,182737,180451,179312,179048,178783,176159,173701,172123,170001,169573,171596,174000,174995,174796,174031,172641,171465,170156,171931,172323,174190,173988,174580,176241,179481,182883,186874,189292,191075,192486,193232,194222,194045,194355,193487,192781,192988,196145,198084,201333,201918,201790,200521,199914,201196,201903,203661,204652,206500,206016,206128,204902,206431,208009,208916,209396,208547,208627,208898,211037,213116,213315,212988,213476,213299,214644,216055,218687,220692,221833,223573,224437,225006,225504,225893,226107,226288,226058,227398,228365,230522,232418,232653,231773,230534,231316,231386,229460,231291,231301,232100,231089,231567,232701,233506,232183,232759,233879,235136,232504,236862,238005,237943,239387,239399,239198,239927,242900,244683,245164
394514,4,"Dallas-Fort Worth, TX",Msa,TX,153102,152734,151820,150924,150344,149985,149978,149598,149007,148296,147672,147751,146923,147735,149125,150105,149678,149209,148949,148997,148373,147938,148556,150145,152030,151215,150263,149820,151285,152240,151994,152464,153893,155551,155453,152459,149489,148349,148518,149431,149950,150843,152019,152075,153579,154223,155783,157187,158405,159678,160555,160679,160468,161551,163047,165025,165532,167302,167932,169499,171904,174456,175952,177448,178871,180654,181159,182071,182136,182047,183205,184634,185262,185309,186648,188967,191859,192842,194158,195422,198477,201203,202548,203603,205769,208216,210158,211148,211842,212503,213443,214525,216030,216797,219147,221437,223470,225608,228031,230339,232512,235114,238513,241661,242598,244736,246300,248449,250075,251267,251925,251356,251998,253042,254995,255578,257824,259425,261183,262067,262583,263892,264843,266165,264591,265138,263585,264006,264388,264443,264316,264851,265575,268609,269526,270234,267287,272017,273815,274783,275396,276412,277593,278603,279766,278915,279898
394974,5,"Philadelphia, PA",Msa,PA,230763,231655,230732,230495,229419,227703,226302,225716,224453,222530,218870,217174,218321,216704,216764,215239,214368,213269,213278,212474,213150,214848,218133,219913,221934,219506,217704,217623,218315,222089,222431,222763,221540,220817,220626,219646,218053,215753,215323,213981,213522,210395,210341,209410,210442,209412,210530,209125,210135,212044,213831,214719,213934,214398,214428,216589,217326,218952,217387,217815,217627,218873,220248,221958,223288,223489,222496,221349,221283,221270,221123,221689,221721,221677,220646,220745,222416,222656,223957,223873,224920,225232,224064,223920,223476,224246,223912,223127,221952,223245,223702,224765,222026,221544,223995,225393,226684,225476,226990,228194,228249,228306,228600,229611,232360,233031,232611,230956,230973,233392,235583,236004,236047,234514,235525,234827,236177,235550,237292,237638,237658,236573,235182,234746,234592,237159,238947,240314,239698,242087,242631,245356,243849,244559,246726,250700,250696,251547,251466,252394,253626,253894,254616,254637,257677,259183,259717
394692,6,"Houston, TX",Msa,TX,156022,154820,153611,152692,151674,151905,151686,151109,149463,148357,147631,148076,148191,151093,153444,155374,155949,155040,154510,154620,155146,156159,156976,156885,155998,153889,152851,150974,151874,152718,153575,154441,156616,157210,158214,157560,154569,152879,151508,153137,154478,155470,157022,157295,157796,157177,156384,157268,159868,162419,163234,163082,161784,161568,162817,166071,168228,169074,169372,171555,175178,178694,179787,180449,180019,182060,182021,183437,182713,184324,186250,186568,187116,186103,189911,190944,196563,197763,200739,200700,203592,205761,207265,207888,207448,209173,209794,212073,211543,211377,210979,210026,211021,211755,213509,213811,214267,215174,216070,218391,219462,220630,219942,221969,222919,224013,223643,225192,225743,225631,225304,224476,224794,226535,229847,231328,229257,228727,229504,230919,232988,235292,235860,234940,233219,234784,234381,234193,235918,236721,237052,237980,238967,241589,242308,241585,239999,243837,244382,245090,246214,247404,248641,248827,248839,247644,248723
395209,7,"Washington, DC",Msa,DC,376036,373361,370740,365056,358805,350824,344549,339999,336417,336931,333221,330905,324150,320283,317501,318232,320027,320662,320671,317583,316759,312341,312338,312745,316648,317660,316832,317312,317925,324245,330563,337896,340121,337486,340110,338567,338560,335844,335331,335866,336261,338053,334410,332612,329929,332233,331129,333804,338764,343511,346622,346854,347368,346532,348845,351759,354208,356194,356873,361027,362155,364083,366437,368321,370637,370513,372147,372594,373423,375228,375640,373483,370268,372477,374446,378755,379241,377973,376496,375294,379139,379498,381269,383256,384174,383084,379377,376204,374988,377637,379450,382164,378614,376112,375062,374729,378085,377081,378757,378111,379322,380144,383465,382933,385746,387455,389134,386605,385795,387774,391355,393071,393395,393680,392075,392531,393527,396506,397954,399862,399923,401952,402237,401660,400693,404028,404865,404669,405574,407375,408261,407885,405956,408511,411665,410977,408005,412204,413963,416341,417375,417037,418097,420688,424920,424484,424076
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,280422,275259,269571,261442,255527,248164,241826,234233,228924,221674,215354,208737,203035,196064,191860,191260,188203,186229,182094,180869,177374,176848,174676,174997,173344,172043,167602,164735,162034,161593,162504,162062,160238,158409,158184,156049,155321,155465,156812,155165,153008,150798,150378,150245,151995,153053,155155,156096,158134,156993,158485,158522,161081,163862,167358,170742,172876,175887,178836,181551,185154,189373,193149,197483,202184,205151,205396,205837,207575,209179,209636,212418,214939,219150,221249,224848,225189,226276,228922,232442,234535,235475,236297,239054,239303,239728,239257,239659,240590,241359,240200,239995,241397,245081,246666,245293,244593,246258,247726,249049,248464,251994,255879,258325,258186,257200,259125,260559,263244,263308,265681,266713,270242,269999,268424,267525,269179,272521,274194,277026,277961,278997,279352,278771,277482,278674,280537,282579,283711,282961,282368,281836,281695,282311,282765,284369,282994,288620,290203,291772,293665,296348,299220,301725,304622,307424,310344
394347,9,"Atlanta, GA",Msa,GA,194117,192004,189697,186673,183963,180557,177280,173597,170060,167987,167709,168447,165188,161588,159930,160867,161090,159949,159448,159250,158979,154244,150476,147448,149205,151683,150445,146137,140724,140040,138710,139093,140193,145512,145447,140862,134152,129968,129629,131604,138258,142797,146007,146088,144108,142079,141886,146055,151538,155978,159154,160337,160224,160326,160815,163250,166344,167953,172757,176761,181537,182847,184030,186356,186746,187123,187384,187896,189511,191319,191707,192113,191302,192755,193625,194331,196049,196641,197792,197635,197278,198215,199863,200937,201832,203299,204832,205757,204987,205546,205628,206805,208064,208645,208462,208039,209292,209735,209794,210059,210472,210946,211301,213343,215235,216646,216885,218118,218305,218461,219189,220540,223304,224286,226681,227957,231073,232875,235224,236101,237419,239379,240978,241034,239737,243304,246089,247272,246154,246887,246998,247520,245774,249216,252294,254810,252327,254743,254350,255355,257299,258596,260353,262282,265826,265187,264896
